
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 347984 2469016 254732 1681732    0    0     0  1108 1861 4832 60  8  0 31  0	
 1  1 347984 2468660 254732 1682080    0    0     0  1146 1891 5019 62  8  0 30  0	
 1  1 347984 2469380 254740 1681456    0    0     0  1458 1897 4875 61  8  0 31  0	
 1  1 347984 2469380 254748 1681808    0    0     0  1146 1882 4928 62  8  0 31  0	
 1  1 347984 2468140 254756 1682176    0    0     0  1596 1897 4843 61  9  0 30  0	
 3  0 347956 2468908 254756 1681644   32    0    32  1150 1846 4849 61  8  0 31  0	
 1  1 347948 2468800 254756 1681892    0    0     0  2076 1847 4712 60  9  0 32  0	
 2  1 347932 2466364 254772 1682232    0    0     0  1292 1893 4829 62  8  0 30  0	
 1  1 347932 2466116 254772 1682580    0    0     0  1344 1908 5029 62  8  0 30  0	
 1  1 347932 2466472 254780 1681984    0    0     0  1302 1873 4873 60  9  0 31  0	
 1  2 347932 2466224 254780 1682320    0    0     0  1540 1838 4680 60  8  0 32  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 347932 2465984 254780 1682644    0    0     0  1814 1858 4803 60  9  0 32  0	
 2  1 347932 2465588 254796 1682984    0    0     0  1220 1856 4734 60  8  1 31  0	
 4  1 347928 2466084 254796 1682356    0    0     0  1326 1869 4821 62  8  0 31  0	
 1  1 347928 2465588 254812 1682720    0    0     0  1856 1932 4812 61  9  0 30  0	
 1  1 347928 2465348 254812 1683084    0    0     0  1700 1922 5195 62  9  0 30  0	
 2  1 347928 2465644 254812 1682576    0    0     0  1286 1826 4829 61  8  0 32  0	
